what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073406781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073421281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073443796
started,bundle,org.eclipse.wst.ws.service.policy,1.0.3.v200811261813,org.eclipse.wst.ws.service.policy,1457073447390
started,bundle,org.eclipse.wst.command.env,1.0.308.v200811200248,org.eclipse.wst.command.env,1457073447625
started,bundle,org.eclipse.wst.ws,1.1.3.v200902042200,org.eclipse.wst.ws,1457073447625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073456250
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073458312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073466406
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457073466734
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457073466828
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1457073471968
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073474156
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073481421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073484281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073492234
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1457073513281
opened,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1457073515000
activated,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1457073515046
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1457073517437
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1457073520234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073521578
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073525656
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457073525937
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457073526031
