what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1457073994250
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073996890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073997140
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1457073997171
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073999187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457073999375
opened,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1457074002468
activated,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1457074002500
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1457074004359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457074009703
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457074010921
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1457074014609
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457074019734
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457074030000
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.launchShortcut.run,1457074030062
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1457074030156
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1457074033781
opened,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1457074034468
activated,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1457074034515
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1457074034750
activated,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1457074036500
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457074037843
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457074038750
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1457074052546
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1457074055250
